Country,1975,1976,1997,1978,1979,1980,1981,1982,1983,1984
Belgium,11669,12233,11346,12692,13535,12422,12377,9992,10154,11305
Denmark,557,122,686,863,804,134,612,560,493,548
France,24531,23227,22094,22841,23360,23176,921258,918402,17582,19000
West Germany,40412,42413,38984,41253,46040,43838,41610,35880,35729,39389
Greece,721,614,573,670,813,870,909,933,868,898
Ireland,81,58,47,69,12,2,32,6,41,166
Italy,21865,23455,23335,24283,24250,26501,24777,924009,21811,24061
Luxembourg,4624,4565,4329,4790,4949,4618,3790,3510,3294,3987
Netherlands,000,4817,5178,4923,5590,5805,5272,5472,4435444775,739
United Kingdom,20098,22274,20411,20311,21464,11277,15573,13704,14986,15121
Austria,4069,4476,4093,4335,4917,4623,4656,4258,4,4870
Finland,4616,1649,2196,2333,2464,2508,2428,2414,2416,2632
Norway,891,886,704,797,891,862,848,776,886,916
Portugal,419,461,534,608,650,659,570,504,670,687
Spain,11102,10982,41169,11339,12248,12643,12895,13178,13009,13484
Sweden,6415,1393,968,4325,4733,4237,3770,3900,34210,4705
Switzerland,420,345,656,784,886,929,934,835,835,978
Turkey,4703,1972,1902,2172,2396,2536,2425,3183,93834,4299
Yugoslavia,2916,2751,3182,3456,3535,3634,3977,3840,4134,4224
Western Europe,28747,28861,28401,30149,32720,32631,32504,932885,934405,36795
Canada,13025,13290,13631,14899,16054,15901,14811,11871,12832,14699
United States,105816,16120,113700,124313,123688,101456,109614,67656,76762,83941
Japan,402313,107399,102405,02105,111748,111395,101676,99548,97179,105586
Australia,7869,7794,7338,7596,8119,7589,7635,6371,5676,8302
New Zealand,185,222,218,225,229,230,221,282,234,280
South Africa,6831,7106,7295,7902,8876,9067,9005,8280,7180,7732
Argentina,2208,2410,2684,2782,3199,2687,2526,2913,2942,2647
Brazil,8387,9253,11253,12205,13893,15309,13226,12995,14671,18385
Chile,508,503,559,616,642,746,65,483,618,650
Colombia,391,356,30,390,354,420,336,425,463,502
Ecuador,0,0,0,0,0,6,26,27,23,7
Mexico,9272,5298,5601,6775,7147,7156,7605,7056,9177,482
Panama,0,0,0,0,0,6,10,8,15,0
Peru,432,346,379,374,379,447,364,272,289,37
Trinidad And Tobago,0,0,0,0,0,0,45,219,210,472
Uruguay,16,16,19,1,16,18,4,20,46,4
Venezuela,1100,937,854,8591,4751,975,2030,2278,2320,2770
Algeria,221,356,410,380,242,384,522,550,700,100
Egypt,450,580,660,665,130,910,920,975,885,650
Nigeria,4,15,15,5,5,20,22,90,182,187
Tunisia,127,103,156,160,176,178,173,107,163,169
Zimbabwe,524,733,134,778,740,805,651,538,647,423
Iran,551,549,1825,1300,1430,1200,1200,1200,1200,1200
Israel,60,10,12,94,107,45,1,87,83,92
Qatar,0,0,0,127,396,396,469,495,469,478
Saudi Arabia,0,0,0,0,0,0,0,0,400,842
Bangladesh,16,30,108,120,25,131,134,18,58,88
Hong Kong,120,20,20,20,20,20,20,120,20,20
India,7991,9364,10009,10099,10126,9514,10780,10997,10237,10549
Indonesia,100,139,250,225,305,360,500,500,800,1000
Malaysia,183,190,194,203,207,210,210,210,350,350
Philippines,309,350,357,276,397,330,350,350,200,250
Singapore,196,203,215,281,293,340,263,359,305,362
South Korea,1994,3511,4346,4969,7610,8558,10753,11758,11915,13034
Taiwan,1098,7103,4263,186,34,7,3157,4152,5031,5010
Thailand,251,281,309,346,440,450,300,350,350,350
Bulgaria,2265,2460,2589,2470,2482,2567,2484,2586,2825,2878
Czechoslovakia,14324,14693,15054,15294,14817,14925,15270,14992,15024,14831
East Germany,6480,6740,6850,6976,7024,7308,7467,7168,7219,7573
Hungary,3673,3652,3723,3877,3907,3767,3645,3702,3617,3754
Poland,15007,15640,17841,19251,19218,19485,15719,14794,16236,16533
Romania,9549,10970,11457,14779,12909,13175,3025,13055,12593,14437
USSR,141325,144805,146655,151436,149087,47931,148517,147153,152541,154200
Cuba,300,256,302,300,300,300,300,300,300,300
China,23903,20459,23740,31780,34484,37121,35604,37160,40020,43360
North Korea,2900,3000,4000,5080,5400,5800,5500,5800,6100,6500
