Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
Belgium,11300,10683,9713,9783,11235,10974,11453,11348,10331,10172
Denmark,548,528,632,606,650,624,610,633,591,603
France,19000,18808,17865,17693,19121,19340,19016,18442,17977,17106
West Germany,39389,40497,37134,36248,41021,41073,38434,42169,39711,37625
Greece,936,985,1009,907,959,956,999,980,924,980
Ireland,166,203,208,220,271,324,326,293,257,326
Italy,24061,23898,22882,22859,23760,25213,25467,25112,24835,25717
Luxembourg,3988,3945,3706,3302,3661,3721,3560,3379,3068,3293
Netherlands,742,5521,5283,5082,5518,5681,5412,5171,5439,6000
Portugal,690,665,714,732,811,762,746,873,769,778
Spain,13379,14032,11882,11691,11886,12765,12936,12798,12243,12960
United Kingdom,15121,15722,14725,17414,18950,18740,17841,16474,16212,16625
Austria,4870,4661,4292,4301,4560,4718,4291,4187,3953,4149
Croatia,000,000,000,000,000,000,000,000,102,74
Finland,2632,2518,2586,2669,2798,2921,2860,2890,3077,3256
Iceland,000,000,000,000,000,000,000,000,000,50
Macedonia,000,000,000,000,000,000,000,000,202,137
Norway,915,930,836,837,869,678,383,438,446,505
Slovenia,000,000,000,000,000,000,000,000,400,347
Sweden,4705,4813,4716,4595,4779,4692,4455,4252,4358,4591
Switzerland,978,987,1075,866,988,1064,1105,4111,1238,1260
Turkey,4330,4832,5891,6981,7983,7848,9323,9335,10254,11414
Yugoslavia,000,000,4244,4338,4565,4412,4487,4448,3608,2176
F.R. Yugoslavia,000,000,000,000,000,000,000,000,667,181
Western Europe,22674,23079,23961,24661,26464,26369,26025,24439,24697,26915
Western Europe,166994,158566,149714,151198,164307,166642,162826,161811,157064,158096
Albania,200,233,209,137,210,205,143,28,20,19
Bulgaria,2878,2944,2898,3045,2880,2899,2180,1615,1552,1941
Czechoslovakia,000,000,14831,186036,16112,15416,15380,15465,14877,12071
Czech Republic,000,000,000,000,000,000,000,000,7282,6769
East Germany,000,000,000,7573,7853,7967,8243,8133,7829,5566
Hungary,3751,3647,3715,3622,3582,3315,2963,1914,1536,1752
Poland,16533,16126,17144,17145,16873,15094,13633,10403,9835,9939
Romania,14437,13795,14276,13885,14314,14415,9761,7130,5376,5446
Slovak Republic,000,000,000,000,000,000,000,000,3858,3922
Belarus,000,000,000,000,000,000,000,000,1105,947
Kazakhstan,000,000,000,000,000,000,000,000,5675,4279
Russia,000,000,000,000,000,000,000,000,67029,58346
Ukraine,000,000,000,000,000,000,000,000,41759,32357
Uzbekistan,000,000,000,000,000,000,000,000,630,573
