Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,1028.0,1058.0,1283.0,1653.0,1823.0,2078.0,2509.0,2393.0,2512.0,3163.0,3101.0,2970.0,2949.0,3194.0,3221.0,3193.0,3023.0,3467.0,3926.0,4079.0,3960.0,4069.0,4238.0,4238.0,0.0,4476.0,,4335.0,4917.0,4623.0,4656.0,4258.0,4411.0,4870.0,4661.0,4292.0,4301.0,4560.0,4718.0,4291.0,4187.0,3953.0,4149.0,4399.0,4990.0,4442.0,5181.0,5282.0,5202.0,5707.0,5869.0,6189.0,6261.0,6530.0,7031.0,7129.0,7578.0,7594.0,5662.0,7206.0,7474.0,7421.0,7953.0,7876.0,7687.0,7438.0,8135.0,6885.0
Belgium,5054.0,5067.0,4497.0,4973.0,5852.0,6379.0,6275.0,6013.0,6437.0,7188.0,7010.0,7362.0,7529.0,8731.0,9169.0,8917.0,9716.0,11572.0,12837.0,12609.0,12445.0,14532.0,15522.0,15522.0,11659.0,12233.0,11346.0,12692.0,13535.0,12422.0,12377.0,9992.0,10154.0,11300.0,10683.0,9713.0,9783.0,11235.0,10974.0,11453.0,11348.0,10331.0,10172.0,11331.0,11606.0,10818.0,10739.0,11425.0,10931.0,11636.0,10762.0,11343.0,11114.0,11698.0,10420.0,11631.0,10692.0,10673.0,5635.0,7973.0,8026.0,7301.0,7127.0,7331.0,7257.0,7687.0,7842.0,7980.0
Bulgaria,0.0,0.0,13.0,62.0,74.0,130.0,159.0,211.0,230.0,253.0,340.0,423.0,461.0,475.0,588.0,699.0,1239.0,1461.0,1515.0,1800.0,,2121.0,2246.0,2188.0,2265.0,2460.0,2589.0,,2482.0,2567.0,2483.0,2586.0,2825.0,2878.0,2944.0,2898.0,3045.0,2880.0,2899.0,2180.0,1615.0,1552.0,1941.0,2491.0,2724.0,2457.0,2628.0,2242.0,1889.0,2022.0,1972.0,1860.0,2317.0,2106.0,1969.0,2123.0,1909.0,1330.0,726.0,737.0,835.0,633.0,523.0,612.0,543.0,527.0,652.0,666.0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,74.0,63.0,45.0,46.0,69.0,101.0,74.0,71.0,58.0,34.0,41.0,86.0,73.0,81.0,75.0,89.0,43.0,95.0,96.0,1.0,135.0,167.0,122.0,0.0,0.0,136.0
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7286.0,6769.0,7085.0,7184.0,6509.0,6750.0,6498.0,5616.0,6216.0,6316.0,6512.0,6783.0,7033.0,6189.0,6862.0,7059.0,6387.0,4594.0,5180.0,5583.0,5072.0,5171.0,5360.0,5262.0,5305.0,4550.0,4938.0
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39793.0,45007.0,44046.0,42062.0,46376.0,44803.0,45015.0,44809.0,46374.0,44524.0,47224.0,48550.0,45833.0,32670.0,43830.0,44284.0,42661.0,42645.0,42943.0,42676.0,42080.0,43297.0,42435.0
Finland,127.0,147.0,147.0,175.0,177.0,194.0,209.0,186.0,232.0,254.0,277.0,331.0,326.0,326.0,371.0,363.0,411.0,,967.0,1167.0,1025.0,1456.0,1615.0,1656.0,1414.0,1649.0,2196.0,,2464.0,2508.0,2428.0,2414.0,2416.0,2639.0,2518.0,2586.0,2669.0,2798.0,2921.0,2860.0,2890.0,3077.0,3256.0,3420.0,3176.0,3301.0,3734.0,3952.0,3956.0,4096.0,3938.0,4003.0,4766.0,4832.0,4739.0,5054.0,4431.0,4417.0,3066.0,4029.0,3989.0,3759.0,3517.0,3807.0,3988.0,4101.0,4003.0,4146.0
France,9835.0,10867.0,9997.0,10627.0,12592.0,13398.0,14096.0,14616.0,15218.0,17281.0,17570.0,17240.0,17557.0,19780.0,19604.0,19585.0,19655.0,20410.0,22511.0,23773.0,22843.0,24054.0,25270.0,27021.0,21531.0,23227.0,22094.0,22841.0,23360.0,23176.0,21258.0,18402.0,17582.0,19000.0,18808.0,17865.0,17693.0,19121.0,19335.0,19016.0,18434.0,17972.0,17106.0,18031.0,18100.0,17633.0,19767.0,20126.0,20200.0,20954.0,19343.0,20258.0,19758.0,20770.0,19481.0,19852.0,19250.0,17879.0,12840.0,15414.0,15780.0,15609.0,15685.0,16143.0,14984.0,14413.0,15505.0,15387.0
Greece,,,,,,,75.0,113.0,90.0,41.0,65.0,65.0,4.0,0.0,6.0,210.0,160.0,218.0,450.0,435.0,475.0,675.0,675.0,687.0,24.0,614.0,573.0,670.0,813.0,870.0,909.0,933.0,866.0,936.0,985.0,1009.0,907.0,959.0,956.0,999.0,9380.0,924.0,980.0,848.0,939.0,848.0,1016.0,1109.0,951.0,1088.0,1281.0,1835.0,1701.0,1967.0,2266.0,2416.0,2554.0,2477.0,2000.0,1821.0,1934.0,1247.0,1030.0,1022.0,910.0,1158.0,1359.0,1467.0
Hungary,1290.0,1459.0,1543.0,1491.0,1629.0,1415.0,1375.0,1627.0,1759.0,1887.0,2053.0,2333.0,2374.0,2364.0,2520.0,2648.0,2739.0,2902.0,3033.0,3108.0,3110.0,3273.0,3332.0,3232.0,0.0,3652.0,3723.0,3877.0,3907.0,3767.0,3645.0,3702.0,3617.0,3770.0,3647.0,3715.0,3622.0,3582.0,3315.0,2963.0,1931.0,1541.0,1753.0,1938.0,1861.0,1872.0,1690.0,1816.0,1813.0,1871.0,1956.0,2053.0,1989.0,1952.0,1958.0,2084.0,2227.0,2097.0,1403.0,1678.0,1746.0,1542.0,883.0,1152.0,1675.0,1274.0,1901.0,1989.0
